Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
266,Keegan Murray,SF,23,SAC,4,4,35.5,5.3,14.5,0.362,2.5,9,0.278,2.8,5.5,0.5,0.448,1.5,2,0.75,2.5,4.8,7.3,2.5,1.8,1,1.3,3,14.5
267,Kris Murray,SF,23,POR,2,0,5.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.5,0.5,0,0.5,0,0,0.5,0
268,Mike Muscala,C,32,WAS,3,1,13.7,1,2.7,0.375,0.3,1.3,0.25,0.7,1.3,0.5,0.438,0.7,0.7,1,0.3,3,3.3,1,0.3,0.3,0.7,1.7,3
269,Svi Mykhailiuk,SF,26,BOS,2,0,8,1.5,4,0.375,1,3,0.333,0.5,1,0.5,0.5,0,0,,0,1.5,1.5,0.5,0.5,0,0,0,4
270,Larry Nance Jr.,C,31,NOP,4,0,18,1.8,2.5,0.7,0.5,0.5,1,1.3,2,0.625,0.8,0,0.5,0,1.5,5,6.5,1,0.8,0.3,1.3,1.8,4
271,Andrew Nembhard,SG,24,IND,4,1,22,4.3,9.5,0.447,0.3,3.5,0.071,4,6,0.667,0.461,0.3,0.5,0.5,0.3,2,2.3,4.3,1,0,2,3,9
272,Aaron Nesmith,SF,24,IND,4,0,24.8,4.3,8.5,0.5,2,5.5,0.364,2.3,3,0.75,0.618,1.3,1.8,0.714,1.5,3.3,4.8,1.3,0,0.8,0.3,3.5,11.8
273,Georges Niang,PF,30,CLE,5,1,22.4,1.8,7.4,0.243,1,4.8,0.208,0.8,2.6,0.308,0.311,0.4,0.4,1,0.6,3.8,4.4,1.2,0.2,0.2,0.6,3,5
274,Daishen Nix,PG,21,MIN,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
275,Zeke Nnaji,PF,23,DEN,5,0,14,2,3.8,0.526,0.2,0.8,0.25,1.8,3,0.6,0.553,1,1.4,0.714,0.8,1.6,2.4,0.4,0.4,0.8,0.4,1.6,5.2
276,Jusuf Nurkić,C,29,PHO,4,4,27.3,3.3,7.8,0.419,0.8,2.8,0.273,2.5,5,0.5,0.468,2.8,3.3,0.846,2,8.5,10.5,4,1.5,1,1.8,4.3,10
277,Jordan Nwora,SF,25,IND,2,0,13.5,2,7.5,0.267,0.5,3,0.167,1.5,4.5,0.333,0.3,0.5,0.5,1,0.5,0.5,1,2,0,0.5,1.5,1,5
278,Royce O'Neale,SF,30,BRK,4,1,31.8,2.8,7.3,0.379,2,5.5,0.364,0.8,1.8,0.429,0.517,0,0,,0.5,6,6.5,2.5,0.8,0.8,1.8,3,7.5
279,Chuma Okeke,SF,25,ORL,2,0,4.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,1.5,2,0,0,0,0.5,0,1
280,Josh Okogie,SG,25,PHO,4,4,29.3,3.8,7,0.536,1,2.8,0.364,2.8,4.3,0.647,0.607,2.8,3,0.917,2.3,1.8,4,1.5,0.3,0.8,1.3,2,11.3
281,Onyeka Okongwu,C,23,ATL,5,0,22.8,4,5.8,0.69,0,0.6,0,4,5.2,0.769,0.69,2.6,2.6,1,2.4,3.8,6.2,2,0.4,0.4,0.6,3.4,10.6
282,Isaac Okoro,SF,23,CLE,5,5,30,3.8,8,0.475,1,2.8,0.357,2.8,5.2,0.538,0.538,1.8,2.6,0.692,2.4,3.2,5.6,2.2,1,0.6,1,3.8,10.4
283,Kelly Olynyk,C,32,UTA,5,0,20.6,3.2,4.6,0.696,1,1.8,0.556,2.2,2.8,0.786,0.804,1.8,2.2,0.818,2.6,3,5.6,4,1.2,0.2,1.8,2.6,9.2
284,Eugene Omoruyi,SF,26,WAS,3,0,9.3,3.3,4.7,0.714,0.3,0.7,0.5,3,4,0.75,0.75,1.3,2,0.667,1.3,2,3.3,0.7,0.3,0.3,0.7,0.3,8.3
285,Cedi Osman,SF,28,SAS,4,0,20.3,4.5,7.8,0.581,2.3,4.5,0.5,2.3,3.3,0.692,0.726,0.5,0.8,0.667,0,1.3,1.3,1.3,0.5,0.5,0.8,1,11.8
286,Kelly Oubre Jr.,SF,28,PHI,3,0,29.3,6.3,12.7,0.5,1.7,5.3,0.313,4.7,7.3,0.636,0.566,4.7,5,0.933,1.3,2.7,4,0.7,2,0.3,1.3,2.7,19
287,Chris Paul,PG,38,GSW,5,2,29.6,3.8,10,0.38,0.2,3.8,0.053,3.6,6.2,0.581,0.39,1.6,1.8,0.889,0.4,4.2,4.6,8.2,1.6,0,1.2,1,9.4
288,Cameron Payne,PG,29,MIL,4,0,13.8,2.3,4,0.563,1.3,2.5,0.5,1,1.5,0.667,0.719,0,0,,0.3,0.8,1,0.5,0.3,0,0.8,2.3,5.8
289,Gary Payton II,SG,31,GSW,5,0,20,2.8,6.2,0.452,1.2,3,0.4,1.6,3.2,0.5,0.548,0.6,0.8,0.75,0.4,2,2.4,1.2,1.8,0.4,0.6,1.8,7.4
290,Filip Petrušev,C,23,PHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
291,Julian Phillips,SF,20,CHI,2,0,2.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
292,Jalen Pickett,SG,24,DEN,2,0,3,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0,0,,0,1,1,0,0,0,0,0.5,2
293,Mason Plumlee,C,33,LAC,5,0,18.2,2.2,3.6,0.611,0,0,,2.2,3.6,0.611,0.611,1.2,2.8,0.429,1.6,4.6,6.2,1,0.6,0.2,0.8,1.2,5.6
294,Brandin Podziemski,SG,20,GSW,1,0,23,2,5,0.4,0,1,0,2,4,0.5,0.4,1,2,0.5,1,7,8,2,0,0,2,4,5
295,Jakob Poeltl,C,28,TOR,5,5,25,4.4,6.2,0.71,0,0,,4.4,6.2,0.71,0.71,1,2,0.5,2.6,6.4,9,1.4,0.2,1.2,1.8,3.2,9.8
296,Aleksej Pokusevski,PF,22,OKC,3,0,6,0,1.3,0,0,1.3,0,0,0,,0,0.3,0.7,0.5,0,1,1,0,0,0.3,1,1,0.3
297,Jordan Poole,SG,24,WAS,4,4,27,6.3,16.3,0.385,1.8,7.3,0.241,4.5,9,0.5,0.438,3,3.8,0.8,0.5,1.8,2.3,2.5,1.5,0.8,3.3,1.8,17.3
298,Craig Porter Jr.,PG,23,CLE,3,0,12.3,2,4.3,0.462,0,0.3,0,2,4,0.5,0.462,0.7,0.7,1,0.3,1.3,1.7,1,1,0.3,1,2,4.7
