Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
349,Jabari Smith Jr.,PF,20,HOU,4,4,32,5.3,11.8,0.447,1.8,5.8,0.304,3.5,6,0.583,0.521,0.5,1.5,0.333,1.8,5.3,7,2.5,1,0.3,1.5,4,12.8
350,Jalen Smith,C,23,IND,3,0,16,4.7,6.7,0.7,1.3,2.3,0.571,3.3,4.3,0.769,0.8,0.7,1,0.667,1.7,3.7,5.3,1,0.7,0.3,0.7,3,11.3
351,Nick Smith Jr.,SG,19,CHO,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
352,Jeremy Sochan,PF,20,SAS,4,4,27,3,7.8,0.387,0.5,2,0.25,2.5,5.8,0.435,0.419,2.3,3.3,0.692,1.8,4.3,6,4.3,1,0.3,2.3,3.8,8.8
353,Jaden Springer,SG,21,PHI,2,0,6,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0.5,0.5,1,1,0,1.5,0.5,2.5,1
354,Lamar Stevens,PF,26,BOS,2,0,6,2,3,0.667,0.5,0.5,1,1.5,2.5,0.6,0.75,0,0,,2,0,2,1,0,0,1.5,1.5,4.5
355,Isaiah Stewart,C,22,DET,5,5,33.8,5.4,10.6,0.509,1.6,3.6,0.444,3.8,7,0.543,0.585,1,1.4,0.714,2.2,6.4,8.6,1.6,0.2,0.2,2.2,3.4,13.4
356,Julian Strawther,SF,21,DEN,4,0,8.8,1.8,4.5,0.389,0.8,2.8,0.273,1,1.8,0.571,0.472,0,0.3,0,0,0.8,0.8,0.3,0.3,0.5,0,0.5,4.3
357,Max Strus,SF,27,CLE,5,5,37.2,4.8,13.8,0.348,2.8,9,0.311,2,4.8,0.417,0.449,1.8,2,0.9,0.2,6.8,7,3.8,0.6,0.8,1.6,2.4,14.2
358,Jalen Suggs,SG,22,ORL,4,4,26.5,4,9.8,0.41,1.5,5,0.3,2.5,4.8,0.526,0.487,1.8,1.8,1,1.5,4.3,5.8,1.8,1.5,0.8,1,3,11.3
359,Cole Swider,SF,24,MIA,1,0,2,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,0,0,5
360,Jae'Sean Tate,SF,28,HOU,4,0,17.5,1.5,3.8,0.4,0.5,1.5,0.333,1,2.3,0.444,0.467,1,1.3,0.8,0.8,3.3,4,1.5,1.5,0.8,0.5,2,4.5
361,Jayson Tatum,SF,25,BOS,4,4,33.5,11.3,20,0.563,3.3,8,0.406,8,12,0.667,0.644,4,5,0.8,0.5,8.8,9.3,4,0.8,0.3,2.5,2.5,29.8
362,Terry Taylor,PF,24,CHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
363,Garrett Temple,SG,37,TOR,1,0,3,0,0,,0,0,,0,0,,,2,2,1,0,0,0,0,0,0,0,0,2
364,Dalen Terry,SG,21,CHI,2,0,2.5,0.5,1.5,0.333,0.5,1,0.5,0,0.5,0,0.5,0,0,,0,1,1,0.5,0,0,0,0,1.5
365,Cam Thomas,SG,22,BRK,4,3,32.8,9.8,19,0.513,1.5,5,0.3,8.3,14,0.589,0.553,7,8.5,0.824,0,3.5,3.5,1.8,1.3,0.5,1.8,2,28
366,Amen Thompson,SF,21,HOU,4,0,16.8,2.3,5.5,0.409,0.5,2.8,0.182,1.8,2.8,0.636,0.455,1.3,2,0.625,0.3,2.5,2.8,1.5,0.5,0.3,1.5,2.3,6.3
367,Ausar Thompson,SF,21,DET,5,5,29.6,4,10.2,0.392,0.2,2,0.1,3.8,8.2,0.463,0.402,1.8,2.4,0.75,4,5.8,9.8,3.8,0.8,2,2.4,3.6,10
368,Klay Thompson,SF,33,GSW,4,4,32,6.5,14.3,0.456,2.8,7.3,0.379,3.8,7,0.536,0.553,0.8,0.8,1,0.8,3.3,4,2.3,0.3,1.3,2.3,3.3,16.5
369,Tristan Thompson,PF,32,CLE,3,0,13.3,2,2.7,0.75,0,0,,2,2.7,0.75,0.75,0.7,0.7,1,2.3,1.7,4,1,0,0.7,1.3,1,4.7
370,JT Thor,PF,21,CHO,4,0,19.3,2,5,0.4,0.8,2.8,0.273,1.3,2.3,0.556,0.475,0,0,,0.5,2.8,3.3,1,1,0.5,0.5,1,4.8
371,Matisse Thybulle,SG,26,POR,5,5,16.8,1.4,3.6,0.389,1,3.2,0.313,0.4,0.4,1,0.528,0,0,,0.2,0.6,0.8,0.8,0.6,0.2,0.4,1,3.8
372,Xavier Tillman Sr.,C,25,MEM,5,5,26.8,3.6,9.8,0.367,0.8,3,0.267,2.8,6.8,0.412,0.408,0.8,1.8,0.444,2.4,5.2,7.6,2,1.8,0.8,1.6,2.8,8.8
373,Obi Toppin,PF,25,IND,4,4,21.5,3.3,6.3,0.52,0.5,2.3,0.222,2.8,4,0.688,0.56,1,1.3,0.8,1.8,2.8,4.5,0.5,1,0.3,0.5,0.8,8
374,Karl-Anthony Towns,PF,28,MIN,4,4,33.5,6.8,18.3,0.37,1.3,5.3,0.238,5.5,13,0.423,0.404,2.3,2.5,0.9,1.5,8,9.5,3,1,1,1.5,2.3,17
375,Gary Trent Jr.,SG,25,TOR,5,1,27.6,3.8,11.4,0.333,1.4,5,0.28,2.4,6.4,0.375,0.395,0.8,2.2,0.364,0.8,1.8,2.6,1.2,1,0.2,0.6,1.6,9.8
376,P.J. Tucker,PF-SF,38,TOT,4,3,21.8,0.5,1.5,0.333,0.5,1.3,0.4,0,0.3,0,0.5,0,0,,1.5,3.3,4.8,0,0.8,0.5,0.5,3.3,1.5
376,P.J. Tucker,PF,38,PHI,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,,0.6,0,0,,0.3,4.3,4.7,0,1,0.7,0.7,3,2
376,P.J. Tucker,SF,38,LAC,1,0,21,0,1,0,0,0,,0,1,0,0,0,0,,5,0,5,0,0,0,0,4,0
377,Myles Turner,C,27,IND,4,4,26.5,5.5,12,0.458,1,4.5,0.222,4.5,7.5,0.6,0.5,2.8,3.8,0.733,1,8,9,2,0.3,2,1.5,3,14.8
378,Hunter Tyson,PF,23,DEN,2,0,4,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,1,1,0,0,0,0,1.5,1
379,Stanley Umude,SG,24,DET,3,0,5,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0.7,0.7,0,0.3,0,0,1,0
380,Jonas Valančiūnas,C,31,NOP,4,4,23.5,4.3,8.8,0.486,1,2.8,0.364,3.3,6,0.542,0.543,3,3.3,0.923,1.3,6.5,7.8,1.5,0.3,1,1.8,2,12.5
381,Fred VanVleet,PG,29,HOU,4,4,37.3,6.3,15.8,0.397,3.3,8.3,0.394,3,7.5,0.4,0.5,1.3,1.5,0.833,0,3,3,8,0.8,0,2,2,17
382,Devin Vassell,SG,23,SAS,4,4,34.8,7.3,14.3,0.509,2,6,0.333,5.3,8.3,0.636,0.579,3.5,4.8,0.737,0.5,3.3,3.8,2.5,1.5,0,2,1,20
383,Sasha Vezenkov,PF,28,SAC,4,0,16,3,7,0.429,1.5,4.5,0.333,1.5,2.5,0.6,0.536,0.3,0.3,1,0.3,2.8,3,0.3,0.5,0.3,0.3,0.8,7.8
384,Gabe Vincent,PG,27,LAL,4,0,28.3,2.8,7,0.393,0.3,3.5,0.071,2.5,3.5,0.714,0.411,0.3,0.5,0.5,0.5,0.5,1,3,1.5,0,0.5,2.5,6
385,Nikola Vučević,C,33,CHI,5,5,35,6.8,14,0.486,0.6,2.6,0.231,6.2,11.4,0.544,0.507,1.6,2.2,0.727,2.8,9.6,12.4,2,1.2,0.6,2.4,2.8,15.8
386,Dean Wade,PF,27,CLE,4,3,24.8,1.8,4.8,0.368,1.5,4.3,0.353,0.3,0.5,0.5,0.526,0,0,,0.8,2.8,3.5,1,0.5,0.3,0.5,2,5
387,Franz Wagner,SF,22,ORL,4,4,33,5.5,14.5,0.379,2.5,7.5,0.333,3,7,0.429,0.466,4.5,4.8,0.947,1.5,4.8,6.3,3,1,0.5,2.8,2.8,18
388,Moritz Wagner,C,26,ORL,4,0,15.8,3.5,5.3,0.667,0.3,1.3,0.2,3.3,4,0.813,0.69,2,2.8,0.727,1.3,2.5,3.8,0.5,0.5,0.8,1.5,2.5,9.3
389,Jabari Walker,SF,21,POR,5,0,13.2,2,4,0.5,0.4,1,0.4,1.6,3,0.533,0.55,2,2.4,0.833,1,2.4,3.4,0.2,0.8,0.4,1.2,1.8,6.4
390,Jarace Walker,PF,20,IND,2,0,9,2,5.5,0.364,0,1,0,2,4.5,0.444,0.364,0,0,,0.5,2.5,3,1.5,0.5,0.5,0,1,4
391,Lonnie Walker IV,SG,25,BRK,3,0,25,5,10.3,0.484,2.7,5.7,0.471,2.3,4.7,0.5,0.613,4,5.7,0.706,0.3,2.7,3,3.3,1.3,0.7,1.7,1.7,16.7
392,Cason Wallace,SG,20,OKC,5,0,20,2.6,3.2,0.813,1,1.2,0.833,1.6,2,0.8,0.969,1.2,1.2,1,0.4,2.2,2.6,1,0.2,0.4,0.4,2,7.4
393,P.J. Washington,PF,25,CHO,4,4,32.8,8.3,14.5,0.569,2,5,0.4,6.3,9.5,0.658,0.638,0.5,1,0.5,1.3,4.5,5.8,1.8,0.5,0.3,1.3,4,19
394,TyTy Washington Jr.,PG,22,MIL,1,0,3,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,1,0,3
395,Yuta Watanabe,SF,29,PHO,4,0,18.3,2.5,5.5,0.455,1.8,4,0.438,0.8,1.5,0.5,0.614,0.5,0.5,1,0.5,2.5,3,0.5,0.8,0.5,1,1.8,7.3
396,Lindy Waters III,SG,26,OKC,3,0,1.3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
397,Trendon Watford,PF,23,BRK,1,0,14,4,6,0.667,1,2,0.5,3,4,0.75,0.75,2,2,1,1,3,4,4,1,0,1,2,11
398,Peyton Watson,SG,21,DEN,5,0,16.2,3.2,5,0.64,0.8,2.2,0.364,2.4,2.8,0.857,0.72,0.4,0.8,0.5,0.2,2,2.2,0.4,0.4,1.2,0.8,1.4,7.6
399,Victor Wembanyama,PF,20,SAS,4,4,27.3,5.8,12.5,0.46,1.3,4.8,0.263,4.5,7.8,0.581,0.51,3.5,5,0.7,2.3,5.3,7.5,1.5,1.5,2.3,4.8,2.8,16.3
400,Blake Wesley,SG,20,SAS,1,0,7,0,1,0,0,1,0,0,0,,0,1,2,0.5,0,0,0,1,0,1,1,0,1
401,Russell Westbrook,PG,35,LAC,5,5,33.8,6.4,12.4,0.516,1.4,3.6,0.389,5,8.8,0.568,0.573,1,2,0.5,1.6,6.2,7.8,7,2.2,0.6,3.8,3.8,15.2
402,Coby White,SG,23,CHI,5,5,31.4,3.2,10.2,0.314,1.2,5.2,0.231,2,5,0.4,0.373,2.2,2.6,0.846,0.2,2.8,3,4,0.4,0,1.6,2.6,9.8
403,Derrick White,SG,29,BOS,4,4,29.8,5.5,8.5,0.647,2.8,4.8,0.579,2.8,3.8,0.733,0.809,2,2.5,0.8,1.3,2.8,4,4.3,1.3,1.3,1.8,2,15.8
404,Cam Whitmore,SF,19,HOU,1,0,10,0,4,0,0,2,0,0,2,0,0,0,0,,0,1,1,0,0,0,1,0,0
405,Aaron Wiggins,SG,25,OKC,4,0,11.5,1.8,2.8,0.636,0,0.8,0,1.8,2,0.875,0.636,0.8,1,0.75,0.3,1.5,1.8,0.8,0,0.3,1,1.8,4.3
406,Andrew Wiggins,SF,28,GSW,5,5,25.6,4.6,10.6,0.434,0.4,2.4,0.167,4.2,8.2,0.512,0.453,1.8,2.8,0.643,0.6,1.6,2.2,0.6,0,0.6,1.6,2.6,11.4
407,Grant Williams,PF,25,DAL,4,4,31.5,4.8,8.8,0.543,4,7.3,0.552,0.8,1.5,0.5,0.771,2,2.8,0.727,1,4,5,0.8,0.3,0.3,1.5,2.8,15.5
408,Jalen Williams,SG,22,OKC,5,5,32.8,5.6,12.2,0.459,1,3.4,0.294,4.6,8.8,0.523,0.5,3.8,4,0.95,0.2,5,5.2,4.2,0.6,0.4,1.8,2.4,16
409,Jeenathan Williams,SG,24,HOU,1,0,5,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,0,0,0,0,0,0,0,4
410,Mark Williams,C,22,CHO,4,4,24.8,4.3,5.5,0.773,0,0,,4.3,5.5,0.773,0.773,2,2.8,0.727,2.5,5.3,7.8,1,1.3,1,1.3,2,10.5
411,Patrick Williams,PF,22,CHI,5,5,22.4,1.6,6,0.267,0.4,3.2,0.125,1.2,2.8,0.429,0.3,0.4,0.4,1,0.8,2.4,3.2,1.4,1.4,0.4,1.2,2.4,4
412,Robert Williams,C,26,POR,4,0,22,3,4.8,0.632,0,0,,3,4.8,0.632,0.632,1,1.3,0.8,1.3,5,6.3,1.3,1.3,1.5,1.3,3,7
413,Vince Williams Jr.,SG,23,MEM,2,0,8.5,1,2.5,0.4,0.5,2,0.25,0.5,0.5,1,0.5,3.5,4,0.875,0,1,1,1.5,0.5,1.5,0.5,1.5,6
414,Ziaire Williams,SF,22,MEM,5,5,29.2,3.6,8.8,0.409,1.8,5.4,0.333,1.8,3.4,0.529,0.511,1.4,1.4,1,0.8,6,6.8,1.2,0.2,0.4,2,1.6,10.4
415,Zion Williamson,PF,23,NOP,4,4,30.8,8.8,17.3,0.507,0,0.3,0,8.8,17,0.515,0.507,4,6.8,0.593,3.8,3,6.8,4,0.8,0,3,2.5,21.5
416,Jalen Wilson,PF,23,BRK,1,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0
417,Dylan Windler,SF,27,NYK,2,0,3,0.5,1,0.5,0.5,1,0.5,0,0,,0.75,0,0,,0,0.5,0.5,0.5,0,0,0,0.5,1.5
418,James Wiseman,C,22,DET,1,0,6,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,2,2,1,0,0,1,4,4
419,Christian Wood,PF,28,LAL,5,0,21.2,3,5.2,0.577,1,2.6,0.385,2,2.6,0.769,0.673,1.8,2.6,0.692,1.2,6.6,7.8,1,0.2,0.8,1.4,1.8,8.8
420,Delon Wright,PG,31,WAS,4,0,19.8,1,4,0.25,0.5,1.3,0.4,0.5,2.8,0.182,0.313,1,1.3,0.8,0.3,3,3.3,6,1.8,0.3,0.3,0.5,3.5
421,Trae Young,PG,25,ATL,5,5,34.8,5.8,17.8,0.326,1.6,6.4,0.25,4.2,11.4,0.368,0.371,8.4,9.6,0.875,0.2,2,2.2,10,1.6,0,3.6,1.6,21.6
422,Omer Yurtseven,C,25,UTA,3,0,5,1,1.7,0.6,0,0.3,0,1,1.3,0.75,0.6,0.3,0.7,0.5,0.7,2,2.7,0.7,0,0,0.3,1,2.3
423,Cody Zeller,C,31,NOP,3,0,5,0,1.7,0,0,0,,0,1.7,0,0,0,0.7,0,1,0.7,1.7,0,0,0,0,0,0
424,Ivica Zubac,C,26,LAC,5,5,23.8,4.8,7.8,0.615,0,0,,4.8,7.8,0.615,0.615,2,3.4,0.588,2.2,5.8,8,0.2,0,1.6,1.2,3,11.6
